courseReferenceNumber,campusDescription,courseTitle,subjectCourse,facultyName
21482,"Seattle, WA",Algorithms,CS5800,"Lee, Hyonho"
21879,"Miami, FL",Algorithms,CS5800,"Jamieson, Alan"
21951,"Vancouver, Canada",Algorithms,CS5800,"Hunter, Aaron"
22070,"Portland, Maine",Algorithms,CS5800,"Amal, Said"
22095,"Seattle, WA",Algorithms,CS5800,"Stalfa, David"
22096,Online,Algorithms,CS5800,"Stern, Jesse"
20265,"Oakland, CA",Algorithms,CS5800,"Bayat, Akram"
20563,Online,Topics,CS5963,"Cantrell, Gary"
22040,"No campus, no room needed",Directed Study,CS5976,"Hamlin, Ariel"
12115,Boston,Natural Language Processing,CS6120,"Alves Moreira, Silvio Amir"
20617,Online,Natural Language Processing,CS6120,"Ahmad, Uzair"
21064,"Silicon Valley, CA",Natural Language Processing,CS6120,"Toutiaee, Mohammadhossein"
21483,"Seattle, WA",Natural Language Processing,CS6120,"Sushmita, Shanu"
21833,"Arlington, VA",Natural Language Processing,CS6120,"Selim, Md"
21928,Boston,Natural Language Processing,CS6120,"Tahmasebi Maraghoosh, Amir"
22337,Boston,Affective Computing,CS6130,"Marsella, Stacy"
10931,Boston,Machine Learning,CS6140,"Radivojac, Predrag"
20564,"Portland, Maine",Machine Learning,CS6140,"Mittal, Prashant"
20601,Online,Machine Learning,CS6140,"Ahmad, Uzair"
21065,"Silicon Valley, CA",Machine Learning,CS6140,"Toutiaee, Mohammadhossein"
21484,"Seattle, WA",Machine Learning,CS6140,"Chaudhary, Divya"
21485,"Seattle, WA",Machine Learning,CS6140,"Sushmita, Shanu"
11255,Boston,Information Retrieval,CS6200,"Smith, David"
20600,Online,Data Mining Techniques,CS6220,"Arunagiri, Sara"
21066,"Silicon Valley, CA",Data Mining Techniques,CS6220,"Ni, Karl"
21486,"Seattle, WA",Data Mining Techniques,CS6220,"Hu, Yifan"
21929,Boston,Data Mining Techniques,CS6220,"Yu, Jin"
17755,Boston,Large-Scale Parallel Data Processing,CS6240,"Riedewald, Mirek"
21487,"Seattle, WA",Large-Scale Parallel Data Processing,CS6240,"Chaudhary, Divya"
21899,Boston,Empirical Research Methods,CS6350,"Saha, Abir"
21675,Online,Compilers,CS6410,"Mamat, Anwar"
21488,"Seattle, WA",Advanced Software Development,CS6510,"Skoteiniotis, Therapon"
21067,"Silicon Valley, CA",Fundamentals of Cloud Computing,CS6620,"Cheng, Zhuoqun"
22142,"Seattle, WA",Fundamentals of Cloud Computing,CS6620,"Chaudhary, Divya"
21279,"Vancouver, Canada",Fundamentals of Cloud Computing,CS6620,"Aibin, Michal"
21281,"Vancouver, Canada",Fundamentals of Cloud Computing,CS6620,"Aibin, Michal"
21489,"Seattle, WA",Fundamentals of Cloud Computing,CS6620,"Mishra, Aditya"
21710,Online,Fundamentals of Cloud Computing,CS6620,"Aibin, Michal"
20598,Online,Building Scalable Distributed Systems,CS6650,"Saripalli, Kanaka"
21490,"Seattle, WA",Building Scalable Distributed Systems,CS6650,"Rajpal, Vishal"
20873,"Arlington, VA","Privacy, Security, and Usability",CS6760,"Jung, Youna"
21491,"Seattle, WA","Privacy, Security, and Usability",CS6760,"Bonaci, Tamara"
18927,"No campus, no room needed",Co-op Work Experience - Half-Time,CS6954,"Stimac, Emily"
18928,"No campus, no room needed",Co-op Work Experience - Half-Time,CS6954,"Celestine, Thea"
18929,"No campus, no room needed",Co-op Work Experience - Half-Time,CS6954,"Ross, Jennifer"
18930,"No campus, no room needed",Co-op Work Experience - Half-Time,CS6954,"Vander Laan, Kathleen"
18931,"No campus, no room needed",Co-op Work Experience - Half-Time,CS6954,"Cengic, Smajl"
19021,"No campus, no room needed",Co-op Work Experience - Half-Time,CS6954,"Houser, Holly"
23159,"No campus, no room needed",Co-op Work Experience - Half-Time,CS6954,"Cifuentes-Machado, Emanuel"
23021,"No campus, no room needed",Co-op Work Experience - Half-Time,CS6954,"Odama, Natasha"
18890,"No campus, no room needed",Co-op Work Experience,CS6964,"Cengic, Smajl"
18891,"No campus, no room needed",Co-op Work Experience,CS6964,"Hammour, Abdulrahim"
18892,"No campus, no room needed",Co-op Work Experience,CS6964,"Stimac, Emily"
18893,"No campus, no room needed",Co-op Work Experience,CS6964,"Celestine, Thea"
18894,"No campus, no room needed",Co-op Work Experience,CS6964,"Ross, Jennifer"
18895,"No campus, no room needed",Co-op Work Experience,CS6964,"Vander Laan, Kathleen"
18896,"No campus, no room needed",Co-op Work Experience,CS6964,"Houser, Holly"
22768,"No campus, no room needed",Co-op Work Experience,CS6964,"Odama, Natasha"
22900,"No campus, no room needed",Co-op Work Experience,CS6964,"Smith, Amanda"
23153,"No campus, no room needed",Co-op Work Experience,CS6964,"Cifuentes-Machado, Emanuel"
18999,"No campus, no room needed",Co-op Work Experience Abroad,CS6965,"Celestine, Thea"
19001,"No campus, no room needed",Co-op Work Experience Abroad,CS6965,"Cengic, Smajl"
19002,"No campus, no room needed",Co-op Work Experience Abroad,CS6965,"Houser, Holly"
19199,"No campus, no room needed",Co-op Work Experience Abroad,CS6965,"Stimac, Emily"
19511,"No campus, no room needed",Co-op Work Experience Abroad,CS6965,"Ross, Jennifer"
22898,"No campus, no room needed",Co-op Work Experience Abroad,CS6965,"Odama, Natasha"
20223,Boston,Topic:RegTechinDgtlEcon,CS6983,"Bietti, Elettra"
21919,Online,Computational Geometry,CS6983,"Aloupis, Gregory"
22082,Boston,Topics: IntroAccess&amp;Disabil,CS6983,"Hofmann, Megan"
22197,Boston,Trustworthy Gen AI,CS6983,"Oprea, Alina"
21985,Online,Deep Learning,CS7150,"Hand, Paul"
18451,Boston,Seminar in Artificial Intelligence,CS7170,"Elhamifar, Ehsan"
21805,Boston,Seminar in Artificial Intelligence,CS7170,"Wang, Dakuo"
15888,Boston,ST:Verifiable Machine Learning,CS7180,"Everett, Michael"
21504,Online,SpTp: Advanced Perception,CS7180,"Maxwell, Bruce"
20224,Boston,Special Topics in Artificial Intelligence,CS7180,"Bau, David"
22092,"Seattle, WA",Special Topics in Artificial Intelligence,CS7180,"Aguiar, Everaldo"
22521,Boston,SpTp:LLM-based Dialogue Agents,CS7180,"Shi, Weiyan"
15465,Boston,Statistical Methods for Computer Science,CS7200,"Vitek, Olga"
22555,Boston,Seminar in Database Systems,CS7270,"Riedewald, Mirek"
21492,Online,SpTp:Prvcy Prsrvng ML,CS7290,"Bonaci, Tamara"
22099,Boston,SpTp:HCI&amp;VizAsDecsnMkngAids,CS7295,"Padilla, Lace"
20266,"Oakland, CA",Special Topics in Data Visualization,CS7295,"Guerra Gomez, John Alexis"
20227,Boston,Machine Learning with Graphs,CS7332,"Eliassi-Rad, Tina"
22256,Boston,Theory and Methods in Human Computer Interaction,CS7340,"Bickmore, Timothy"
22102,Boston,Sem:HmnCntrdPrvcyDsgnSys,CS7375,"Li, Tianshi"
22523,Boston,Seminar in Human-Computer Interaction,CS7375,"Yildirim, Caglar"
20228,Boston,Special Topics in Human-Centered Computing,CS7390,"Das, Maitraye"
21852,Boston,SpTp: Human Robot Interaction,CS7390,"Tan, Xiang Zhi"
21942,Boston,Intensive Principles of Programming Languages,CS7400,"Martens, Christopher"
22073,Boston,SpTp:FrmlScrtyForCryptog,CS7480,"Gancher, Joshua"
21831,Boston,Foundations of Distributed Systems,CS7610,"Nita-Rotaru, Cristina"
15467,Boston,Seminar in Computer Systems,CS7670,"Cooperman, Gene"
22534,Boston,Seminar in Computer Systems,CS7670,"Shin, Ji Yong"
21986,"No campus, no room needed",Master&#39;s Research,CS7675,"Oprea, Alina"
21987,"No campus, no room needed",Master&#39;s Research,CS7675,"Hamandi, Lama"
21988,"No campus, no room needed",Master&#39;s Research,CS7675,"Chaudhary, Divya"
21989,"No campus, no room needed",Master&#39;s Research,CS7675,"Singh, Sarita"
21990,"No campus, no room needed",Master&#39;s Research,CS7675,"Sathyanarayana, Aarti"
21991,"No campus, no room needed",Master&#39;s Research,CS7675,"Hamlin, Ariel"
21992,"No campus, no room needed",Master&#39;s Research,CS7675,"Tan, Cheng"
21997,"No campus, no room needed",Master&#39;s Research,CS7675,"Ranganathan, Aanjhan"
21998,"No campus, no room needed",Master&#39;s Research,CS7675,"Bayat, Akram"
21999,"No campus, no room needed",Master&#39;s Research,CS7675,"Lionelle, Albert"
22000,"No campus, no room needed",Master&#39;s Research,CS7675,"To, Alexandra"
22001,"No campus, no room needed",Master&#39;s Research,CS7675,"De Schutter, Bob"
22002,"No campus, no room needed",Master&#39;s Research,CS7675,"Tip, Frank"
22003,"No campus, no room needed",Master&#39;s Research,CS7675,"Lee, Jeongkyu"
22004,"No campus, no room needed",Master&#39;s Research,CS7675,"Shin, Ji Yong"
22005,"No campus, no room needed",Master&#39;s Research,CS7675,"Mitra, Joydeep"
22006,"No campus, no room needed",Master&#39;s Research,CS7675,"Das, Maitraye"
22007,"No campus, no room needed",Master&#39;s Research,CS7675,"DeVito, Michael Ann"
22020,"No campus, no room needed",Master&#39;s Research,CS7675,"Aibin, Michal"
22008,"No campus, no room needed",Master&#39;s Research,CS7675,"Toutiaee, Mohammadhossein"
22009,"No campus, no room needed",Master&#39;s Research,CS7675,"Saad, Nadim"
22010,"No campus, no room needed",Master&#39;s Research,CS7675,"Vitek, Olga"
22011,"No campus, no room needed",Master&#39;s Research,CS7675,"Savage, Saiph"
22012,"No campus, no room needed",Master&#39;s Research,CS7675,"Cooper, Seth"
22013,"No campus, no room needed",Master&#39;s Research,CS7675,"Marsella, Stacy"
22014,"No campus, no room needed",Master&#39;s Research,CS7675,"Talaei Khoei, Tala"
22015,"No campus, no room needed",Master&#39;s Research,CS7675,"Amjad, Tehmina"
22016,"No campus, no room needed",Master&#39;s Research,CS7675,"Mullen, Anthony"
22017,"No campus, no room needed",Master&#39;s Research,CS7675,"Mishra, Varun"
22021,"No campus, no room needed",Master&#39;s Research,CS7675,"Sushmita, Shanu"
20568,"Portland, Maine",ST: Programming Embedded Sys,CS7680,"Valcourt, Scott"
22460,Boston,Seminar in Computer Security,CS7775,"Ranganathan, Aanjhan"
15468,Boston,Advanced Algorithms,CS7800,"Nguyen, Huy"
